Date,Open,High,Low,Close,Volume,Adj Close
2014-07-14,347.029999,359.679993,345.359985,358.660004,4065500,358.660004
2014-07-07,337.50,347.00,321.399994,346.200012,4106400,346.200012
2014-06-30,324.980011,338.299988,322.23999,337.48999,2617600,337.48999
2014-06-23,323.329987,329.730011,321.410004,324.570007,2534900,324.570007
2014-06-16,324.859985,338.899994,320.420013,324.200012,4630000,324.200012
2014-06-09,331.570007,340.720001,323.529999,326.269989,3670700,326.269989
2014-06-02,312.589996,330.880005,303.839996,329.670013,3946000,329.670013
2014-05-27,314.410004,314.869995,307.380005,312.549988,3553400,312.549988
2014-05-19,295.76001,312.350006,293.809998,312.23999,3083600,312.23999
2014-05-12,294.299988,305.600006,290.380005,297.700012,3698900,297.700012
2014-05-05,306.369995,310.230011,284.380005,292.23999,4425700,292.23999
2014-04-28,304.00,313.290009,288.00,308.01001,6680200,308.01001
2014-04-21,323.970001,337.50,302.709991,303.829987,7157900,303.829987
2014-04-14,317.670013,328.660004,305.50,324.910004,4569000,324.910004
2014-04-07,320.98999,332.179993,309.50,311.730011,6425100,311.730011
2014-03-31,342.399994,348.299988,315.609985,323.00,6261400,323.00
2014-03-24,360.089996,361.50,330.880005,338.290009,4638600,338.290009
2014-03-17,375.720001,379.00,358.399994,360.619995,3081100,360.619995
2014-03-10,372.690002,383.109985,363.609985,373.73999,3559900,373.73999
2014-03-03,358.73999,375.329987,354.480011,372.059998,2911400,372.059998
2014-02-24,345.190002,365.869995,343.290009,362.100006,3598000,362.100006
2014-02-18,355.279999,355.730011,344.380005,346.76001,4217200,346.76001
2014-02-10,361.609985,365.00,346.320007,357.350006,4190900,357.350006
2014-02-03,358.980011,361.799988,337.730011,361.079987,5439000,361.079987
2014-01-27,390.50,406.25,357.76001,358.690002,7368400,358.690002
2014-01-21,403.00,408.059998,387.269989,387.600006,3166600,387.600006
2014-01-13,397.980011,403.48999,388.450012,399.609985,2993900,399.609985
2014-01-06,395.850006,406.890015,388.420013,397.660004,2437100,397.660004
2013-12-30,399.410004,402.709991,392.450012,396.440002,2207900,396.440002
2013-12-23,403.690002,405.630005,396.25,398.079987,1973800,398.079987
2013-12-16,385.029999,404.720001,383.100006,402.200012,3109100,402.200012
2013-12-09,388.109985,389.420013,379.50,384.23999,2619700,384.23999
2013-12-02,399.00,399.00,381.369995,386.950012,2932600,386.950012
2013-11-25,373.820007,394.100006,373.179993,393.619995,2593100,393.619995
2013-11-18,370.279999,374.50,360.450012,372.309998,2268700,372.309998
2013-11-11,350.589996,372.899994,345.679993,369.170013,3205900,369.170013
2013-11-04,360.119995,362.869995,341.880005,350.309998,2626200,350.309998
2013-10-28,359.920013,366.00,356.100006,359.00,3224200,359.00
2013-10-21,329.890015,368.399994,323.799988,363.390015,5439500,363.390015
2013-10-14,309.220001,331.890015,305.23999,328.929993,2997800,328.929993
2013-10-07,315.23999,315.339996,296.50,310.890015,2643000,310.890015
2013-09-30,313.410004,322.920013,311.059998,319.040009,2145400,319.040009
2013-09-23,314.01001,319.369995,308.769989,316.01001,1914900,316.01001
2013-09-16,299.820007,320.570007,295.26001,316.339996,2940900,316.339996
2013-09-09,297.220001,302.00,296.200012,297.920013,1624200,297.920013
2013-09-03,284.730011,298.880005,284.170013,295.859985,2361200,295.859985
2013-08-30,284.589996,284.869995,280.00,280.980011,1534700,280.980011
